taker_pos,taker_name,taker_result,taker_href,taker_outcome,taker_team,game_id
4,Alessandro Del Piero,,https://en.wikipedia.org/wiki/Alessandro_Del_Piero,scored,winner,20
4,Willy Sagnol,,https://en.wikipedia.org/wiki/Willy_Sagnol,scored,loser,20
5,Fabio Grosso,Ending goal,https://en.wikipedia.org/wiki/Fabio_Grosso,scored,winner,20
1,Édgar Barreto,First penalty,https://en.wikipedia.org/wiki/%C3%89dgar_Barreto,scored,winner,21
1,Yasuhito Endō,,https://en.wikipedia.org/wiki/Yasuhito_End%C5%8D,scored,loser,21
2,Lucas Barrios,,https://en.wikipedia.org/wiki/Lucas_Barrios,scored,winner,21
2,Makoto Hasebe,,https://en.wikipedia.org/wiki/Makoto_Hasebe,scored,loser,21
3,Cristian Riveros,,https://en.wikipedia.org/wiki/Cristian_Riveros,scored,winner,21
3,Yūichi Komano,,https://en.wikipedia.org/wiki/Y%C5%ABichi_Komano,missed,loser,21
4,Nelson Valdez,,https://en.wikipedia.org/wiki/Nelson_Valdez,scored,winner,21
4,Keisuke Honda,,https://en.wikipedia.org/wiki/Keisuke_Honda,scored,loser,21
5,Óscar Cardozo,Ending goal,https://en.wikipedia.org/wiki/%C3%93scar_Cardozo,scored,winner,21
1,Diego Forlán,First penalty,https://en.wikipedia.org/wiki/Diego_Forl%C3%A1n,scored,winner,22
1,Asamoah Gyan,,https://en.wikipedia.org/wiki/Asamoah_Gyan,scored,loser,22
2,Mauricio Victorino,,https://en.wikipedia.org/wiki/Mauricio_Victorino,scored,winner,22
2,Stephen Appiah,,https://en.wikipedia.org/wiki/Stephen_Appiah,scored,loser,22
3,Andrés Scotti,,https://en.wikipedia.org/wiki/Andr%C3%A9s_Scotti,scored,winner,22
3,John Mensah,,https://en.wikipedia.org/wiki/John_Mensah,missed,loser,22
4,Maxi Pereira,,https://en.wikipedia.org/wiki/Maxi_Pereira,missed,winner,22
4,Dominic Adiyiah,,https://en.wikipedia.org/wiki/Dominic_Adiyiah,missed,loser,22
5,Sebastián Abreu,Ending goal,https://en.wikipedia.org/wiki/Sebasti%C3%A1n_Abreu,scored,winner,22
1,David Luiz,First penalty,https://en.wikipedia.org/wiki/David_Luiz,scored,winner,23
1,Mauricio Pinilla,,https://en.wikipedia.org/wiki/Mauricio_Pinilla,missed,loser,23
2,"Willian (footballer, born 1988)",,"https://en.wikipedia.org/wiki/Willian_(footballer,_born_1988)",missed,winner,23
2,Alexis Sánchez,,https://en.wikipedia.org/wiki/Alexis_S%C3%A1nchez,missed,loser,23
3,"Marcelo (footballer, born 1988)",,"https://en.wikipedia.org/wiki/Marcelo_(footballer,_born_1988)",scored,winner,23
3,Charles Aránguiz,,https://en.wikipedia.org/wiki/Charles_Ar%C3%A1nguiz,scored,loser,23
4,Hulk (footballer),,https://en.wikipedia.org/wiki/Hulk_(footballer),missed,winner,23
4,Marcelo Díaz,,https://en.wikipedia.org/wiki/Marcelo_D%C3%ADaz,scored,loser,23
5,Neymar,,https://en.wikipedia.org/wiki/Neymar,scored,winner,23
5,Gonzalo Jara,Ending miss,https://en.wikipedia.org/wiki/Gonzalo_Jara,missed,loser,23
